State,Score,Abb,color
South Dakota,100,SD,1
Montana,97,MT,1
Hawaii,91,HI,0
New Jersey,90,NJ,0
Arkansas,89,AR,1
Michigan,88,MI,0
Arizona,87,AZ,0
Nevada,87,NV,0
North Dakota,87,ND,1
Oklahoma,87,OK,1
Idaho,86,ID,1
Louisiana,85,LA,1
Minnesota,85,MN,0
West Virginia,85,WV,1
Florida,84,FL,1
Kansas,84,KS,1
Missouri,84,MO,1
Pennsylvania,83,PA,0
Alabama,82,AL,1
Kentucky,82,KY,1
New Hampshire,82,NH,0
Tennessee,82,TN,1
Texas,82,TX,1
Nebraska,81,NE,1
Alaska,80,AK,1
New Mexico,80,NM,0
New York,80,NY,0
Washington,80,WA,0
California,79,CA,0
Indiana,79,IN,1
Massachusetts,79,MA,0
Ohio,78,OH,1
Virginia,78,VA,0
Wisconsin,78,WI,0
Connecticut,77,CT,0
Delaware,77,DE,0
Maryland,77,MD,0
Oregon,76,OR,0
Illinois,75,IL,0
Mississippi,75,MS,1
Utah,75,UT,1
Vermont,75,VT,0
Iowa,74,IA,1
Wyoming,74,WY,1
Rhode Island,73,RI,0
Colorado,72,CO,0
Georgia,71,GA,0
Maine,71,ME,0
District of Columbia,70,DC,0
South Carolina,68,SC,1
North Carolina,65,NC,1
